Pattern,Topology,Offset,Rank_A,Coord_A,Rank_B,Coord_B,Hop_Count
AllPingPong Neighbor12,mesh,"(0, -1, 1)",3,"(1, 1, 0)",5,"(1, 0, 1)",4
AllPingPong Neighbor12,mesh,"(0, -1, 1)",6,"(0, 1, 1)",8,"(0, 0, 2)",4
AllPingPong Neighbor12,mesh,"(0, -1, 1)",7,"(1, 1, 1)",9,"(1, 0, 2)",4
AllPingPong Neighbor12,mesh,"(0, -1, 1)",10,"(0, 1, 2)",12,"(0, 0, 3)",4
AllPingPong Neighbor12,mesh,"(0, -1, 1)",11,"(1, 1, 2)",13,"(1, 0, 3)",4
AllPingPong Neighbor13,mesh,"(0, 0, -1)",4,"(0, 0, 1)",0,"(0, 0, 0)",3
AllPingPong Neighbor13,mesh,"(0, 0, -1)",5,"(1, 0, 1)",1,"(1, 0, 0)",3
AllPingPong Neighbor13,mesh,"(0, 0, -1)",6,"(0, 1, 1)",2,"(0, 1, 0)",3
AllPingPong Neighbor13,mesh,"(0, 0, -1)",7,"(1, 1, 1)",3,"(1, 1, 0)",3
AllPingPong Neighbor13,mesh,"(0, 0, -1)",8,"(0, 0, 2)",4,"(0, 0, 1)",3
AllPingPong Neighbor13,mesh,"(0, 0, -1)",9,"(1, 0, 2)",5,"(1, 0, 1)",3
AllPingPong Neighbor13,mesh,"(0, 0, -1)",10,"(0, 1, 2)",6,"(0, 1, 1)",3
AllPingPong Neighbor13,mesh,"(0, 0, -1)",11,"(1, 1, 2)",7,"(1, 1, 1)",3
AllPingPong Neighbor13,mesh,"(0, 0, -1)",12,"(0, 0, 3)",8,"(0, 0, 2)",3
AllPingPong Neighbor13,mesh,"(0, 0, -1)",13,"(1, 0, 3)",9,"(1, 0, 2)",3
AllPingPong Neighbor13,mesh,"(0, 0, -1)",14,"(0, 1, 3)",10,"(0, 1, 2)",3
AllPingPong Neighbor13,mesh,"(0, 0, -1)",15,"(1, 1, 3)",11,"(1, 1, 2)",3
AllPingPong Neighbor14,mesh,"(0, 0, 1)",0,"(0, 0, 0)",4,"(0, 0, 1)",3
AllPingPong Neighbor14,mesh,"(0, 0, 1)",1,"(1, 0, 0)",5,"(1, 0, 1)",3
AllPingPong Neighbor14,mesh,"(0, 0, 1)",2,"(0, 1, 0)",6,"(0, 1, 1)",3
AllPingPong Neighbor14,mesh,"(0, 0, 1)",3,"(1, 1, 0)",7,"(1, 1, 1)",3
AllPingPong Neighbor14,mesh,"(0, 0, 1)",4,"(0, 0, 1)",8,"(0, 0, 2)",3
AllPingPong Neighbor14,mesh,"(0, 0, 1)",5,"(1, 0, 1)",9,"(1, 0, 2)",3
