ComponentName, StatisticName, StatisticSubId, StatisticType, SimTime, Rank, Sum.u64, SumSQ.u64, Count.u64, Min.u64, Max.u64
nic0:rtrLink:networkIF, packet_latency, , Accumulator, 761858733, 0, 79460, 18865372, 397, 111, 285
nic0:rtrLink:networkIF, send_bit_count, , Accumulator, 761858733, 0, 157352, 63536960, 397, 360, 808
nic0:rtrLink:networkIF, output_port_stalls, , Accumulator, 761858733, 0, 0, 0, 0, 0, 0
nic0:rtrLink:networkIF, idle_time, , Accumulator, 761858733, 0, 301790464, 515389810728340, 397, 120669, 12350936
nic1:rtrLink:networkIF, packet_latency, , Accumulator, 761858733, 0, 78427, 18456477, 397, 111, 285
nic1:rtrLink:networkIF, send_bit_count, , Accumulator, 761858733, 0, 156712, 62707520, 397, 360, 808
nic1:rtrLink:networkIF, output_port_stalls, , Accumulator, 761858733, 0, 0, 0, 0, 0, 0
nic1:rtrLink:networkIF, idle_time, , Accumulator, 761858733, 0, 473500926, 800477436159968, 397, 124668, 12351336
rtr_l0_g0_r0, send_bit_count, port0, Accumulator, 761858733, 0, 156072, 61878080, 397, 360, 552
rtr_l0_g0_r0, send_packet_count, port0, Accumulator, 761858733, 0, 397, 397, 397, 1, 1
rtr_l0_g0_r0, output_port_stalls, port0, Accumulator, 761858733, 0, 0, 0, 0, 0, 0
rtr_l0_g0_r0, idle_time, port0, Accumulator, 761858733, 0, 760008529, 1717905686278551, 398, 126401, 13856268
rtr_l0_g0_r0, width_adj_count, port0, Accumulator, 761858733, 0, 0, 0, 0, 0, 0
rtr_l0_g0_r0, send_bit_count, port1, Accumulator, 761858733, 0, 156712, 62707520, 397, 360, 808
rtr_l0_g0_r0, send_packet_count, port1, Accumulator, 761858733, 0, 397, 397, 397, 1, 1
rtr_l0_g0_r0, output_port_stalls, port1, Accumulator, 761858733, 0, 0, 0, 0, 0, 0
rtr_l0_g0_r0, idle_time, port1, Accumulator, 761858733, 0, 760000531, 1712934778134025, 398, 113068, 13322669
rtr_l0_g0_r0, width_adj_count, port1, Accumulator, 761858733, 0, 0, 0, 0, 0, 0
rtr_l0_g0_r0, send_bit_count, port2, Accumulator, 761858733, 0, 80728, 32731840, 203, 360, 808
rtr_l0_g0_r0, send_packet_count, port2, Accumulator, 761858733, 0, 203, 203, 203, 1, 1
rtr_l0_g0_r0, output_port_stalls, port2, Accumulator, 761858733, 0, 0, 0, 0, 0, 0
rtr_l0_g0_r0, idle_time, port2, Accumulator, 761858733, 0, 760901639, 3409140081094469, 204, 125068, 25665869
rtr_l0_g0_r0, width_adj_count, port2, Accumulator, 761858733, 0, 0, 0, 0, 0, 0
rtr_l0_g0_r0, send_bit_count, port3, Accumulator, 761858733, 0, 78280, 31719232, 197, 360, 808
rtr_l0_g0_r0, send_packet_count, port3, Accumulator, 761858733, 0, 197, 197, 197, 1, 1
rtr_l0_g0_r0, output_port_stalls, port3, Accumulator, 761858733, 0, 0, 0, 0, 0, 0
rtr_l0_g0_r0, idle_time, port3, Accumulator, 761858733, 0, 760929632, 3540778660010194, 198, 430669, 27968269
rtr_l0_g0_r0, width_adj_count, port3, Accumulator, 761858733, 0, 0, 0, 0, 0, 0
rtr_l0_g0_r0, xbar_stalls, port0, Accumulator, 761858733, 0, 0, 0, 0, 0, 0
rtr_l0_g0_r0, xbar_stalls, port1, Accumulator, 761858733, 0, 0, 0, 0, 0, 0
rtr_l0_g0_r0, xbar_stalls, port2, Accumulator, 761858733, 0, 0, 0, 0, 0, 0
rtr_l0_g0_r0, xbar_stalls, port3, Accumulator, 761858733, 0, 0, 0, 0, 0, 0
nic2:rtrLink:networkIF, packet_latency, , Accumulator, 761858733, 0, 57696, 16398204, 203, 284, 285
nic2:rtrLink:networkIF, send_bit_count, , Accumulator, 761858733, 0, 80088, 31902400, 203, 360, 552
nic2:rtrLink:networkIF, output_port_stalls, , Accumulator, 761858733, 0, 0, 0, 0, 0, 0
nic2:rtrLink:networkIF, idle_time, , Accumulator, 761858733, 0, 592422902, 1843143661745612, 204, 126001, 11184668
nic3:rtrLink:networkIF, packet_latency, , Accumulator, 761858733, 0, 56734, 16030400, 203, 111, 285
nic3:rtrLink:networkIF, send_bit_count, , Accumulator, 761858733, 0, 80088, 31902400, 203, 360, 552
nic3:rtrLink:networkIF, output_port_stalls, , Accumulator, 761858733, 0, 0, 0, 0, 0, 0
nic3:rtrLink:networkIF, idle_time, , Accumulator, 761858733, 0, 591685303, 1830323108288371, 204, 124668, 10532935
rtr_l0_g1_r0, send_bit_count, port0, Accumulator, 761858733, 0, 80728, 32731840, 203, 360, 808
rtr_l0_g1_r0, send_packet_count, port0, Accumulator, 761858733, 0, 203, 203, 203, 1, 1
rtr_l0_g1_r0, output_port_stalls, port0, Accumulator, 761858733, 0, 0, 0, 0, 0, 0
rtr_l0_g1_r0, idle_time, port0, Accumulator, 761858733, 0, 760901639, 3409586572793669, 204, 125068, 25665869
rtr_l0_g1_r0, width_adj_count, port0, Accumulator, 761858733, 0, 0, 0, 0, 0, 0
rtr_l0_g1_r0, send_bit_count, port1, Accumulator, 761858733, 0, 80728, 32731840, 203, 360, 808
rtr_l0_g1_r0, send_packet_count, port1, Accumulator, 761858733, 0, 203, 203, 203, 1, 1
rtr_l0_g1_r0, output_port_stalls, port1, Accumulator, 761858733, 0, 0, 0, 0, 0, 0
