Pattern,Topology,Offset,Rank_A,Coord_A,Rank_B,Coord_B,Hop_Count
AllPingPong Neighbor1,mesh,"(-1, -1, -1)",0,"(0, 0, 0)",21,"(1, 1, 1)",5
AllPingPong Neighbor1,mesh,"(-1, -1, -1)",1,"(1, 0, 0)",22,"(2, 1, 1)",5
AllPingPong Neighbor1,mesh,"(-1, -1, -1)",2,"(2, 0, 0)",23,"(3, 1, 1)",5
AllPingPong Neighbor1,mesh,"(-1, -1, -1)",4,"(0, 1, 0)",25,"(1, 2, 1)",5
AllPingPong Neighbor1,mesh,"(-1, -1, -1)",5,"(1, 1, 0)",26,"(2, 2, 1)",5
AllPingPong Neighbor1,mesh,"(-1, -1, -1)",6,"(2, 1, 0)",27,"(3, 2, 1)",5
AllPingPong Neighbor1,mesh,"(-1, -1, -1)",8,"(0, 2, 0)",29,"(1, 3, 1)",5
AllPingPong Neighbor1,mesh,"(-1, -1, -1)",9,"(1, 2, 0)",30,"(2, 3, 1)",5
AllPingPong Neighbor1,mesh,"(-1, -1, -1)",10,"(2, 2, 0)",31,"(3, 3, 1)",5
AllPingPong Neighbor1,mesh,"(-1, -1, -1)",16,"(0, 0, 1)",37,"(1, 1, 2)",5
AllPingPong Neighbor1,mesh,"(-1, -1, -1)",17,"(1, 0, 1)",38,"(2, 1, 2)",5
AllPingPong Neighbor1,mesh,"(-1, -1, -1)",18,"(2, 0, 1)",39,"(3, 1, 2)",5
AllPingPong Neighbor1,mesh,"(-1, -1, -1)",20,"(0, 1, 1)",41,"(1, 2, 2)",5
AllPingPong Neighbor1,mesh,"(-1, -1, -1)",21,"(1, 1, 1)",42,"(2, 2, 2)",5
AllPingPong Neighbor1,mesh,"(-1, -1, -1)",22,"(2, 1, 1)",43,"(3, 2, 2)",5
AllPingPong Neighbor1,mesh,"(-1, -1, -1)",24,"(0, 2, 1)",45,"(1, 3, 2)",5
AllPingPong Neighbor1,mesh,"(-1, -1, -1)",25,"(1, 2, 1)",46,"(2, 3, 2)",5
AllPingPong Neighbor1,mesh,"(-1, -1, -1)",26,"(2, 2, 1)",47,"(3, 3, 2)",5
AllPingPong Neighbor1,mesh,"(-1, -1, -1)",32,"(0, 0, 2)",53,"(1, 1, 3)",5
AllPingPong Neighbor1,mesh,"(-1, -1, -1)",33,"(1, 0, 2)",54,"(2, 1, 3)",5
AllPingPong Neighbor1,mesh,"(-1, -1, -1)",34,"(2, 0, 2)",55,"(3, 1, 3)",5
AllPingPong Neighbor1,mesh,"(-1, -1, -1)",36,"(0, 1, 2)",57,"(1, 2, 3)",5
AllPingPong Neighbor1,mesh,"(-1, -1, -1)",37,"(1, 1, 2)",58,"(2, 2, 3)",5
AllPingPong Neighbor1,mesh,"(-1, -1, -1)",38,"(2, 1, 2)",59,"(3, 2, 3)",5
AllPingPong Neighbor1,mesh,"(-1, -1, -1)",40,"(0, 2, 2)",61,"(1, 3, 3)",5
AllPingPong Neighbor1,mesh,"(-1, -1, -1)",41,"(1, 2, 2)",62,"(2, 3, 3)",5
AllPingPong Neighbor1,mesh,"(-1, -1, -1)",42,"(2, 2, 2)",63,"(3, 3, 3)",5
AllPingPong Neighbor2,mesh,"(-1, -1, 0)",0,"(0, 0, 0)",5,"(1, 1, 0)",4
AllPingPong Neighbor2,mesh,"(-1, -1, 0)",1,"(1, 0, 0)",6,"(2, 1, 0)",4
AllPingPong Neighbor2,mesh,"(-1, -1, 0)",2,"(2, 0, 0)",7,"(3, 1, 0)",4
AllPingPong Neighbor2,mesh,"(-1, -1, 0)",4,"(0, 1, 0)",9,"(1, 2, 0)",4
AllPingPong Neighbor2,mesh,"(-1, -1, 0)",5,"(1, 1, 0)",10,"(2, 2, 0)",4
AllPingPong Neighbor2,mesh,"(-1, -1, 0)",6,"(2, 1, 0)",11,"(3, 2, 0)",4
AllPingPong Neighbor2,mesh,"(-1, -1, 0)",8,"(0, 2, 0)",13,"(1, 3, 0)",4
AllPingPong Neighbor2,mesh,"(-1, -1, 0)",9,"(1, 2, 0)",14,"(2, 3, 0)",4
AllPingPong Neighbor2,mesh,"(-1, -1, 0)",10,"(2, 2, 0)",15,"(3, 3, 0)",4
AllPingPong Neighbor2,mesh,"(-1, -1, 0)",16,"(0, 0, 1)",21,"(1, 1, 1)",4
AllPingPong Neighbor2,mesh,"(-1, -1, 0)",17,"(1, 0, 1)",22,"(2, 1, 1)",4
AllPingPong Neighbor2,mesh,"(-1, -1, 0)",18,"(2, 0, 1)",23,"(3, 1, 1)",4
AllPingPong Neighbor2,mesh,"(-1, -1, 0)",20,"(0, 1, 1)",25,"(1, 2, 1)",4
AllPingPong Neighbor2,mesh,"(-1, -1, 0)",21,"(1, 1, 1)",26,"(2, 2, 1)",4
AllPingPong Neighbor2,mesh,"(-1, -1, 0)",22,"(2, 1, 1)",27,"(3, 2, 1)",4
AllPingPong Neighbor2,mesh,"(-1, -1, 0)",24,"(0, 2, 1)",29,"(1, 3, 1)",4
AllPingPong Neighbor2,mesh,"(-1, -1, 0)",25,"(1, 2, 1)",30,"(2, 3, 1)",4
AllPingPong Neighbor2,mesh,"(-1, -1, 0)",26,"(2, 2, 1)",31,"(3, 3, 1)",4
AllPingPong Neighbor2,mesh,"(-1, -1, 0)",32,"(0, 0, 2)",37,"(1, 1, 2)",4
AllPingPong Neighbor2,mesh,"(-1, -1, 0)",33,"(1, 0, 2)",38,"(2, 1, 2)",4
AllPingPong Neighbor2,mesh,"(-1, -1, 0)",34,"(2, 0, 2)",39,"(3, 1, 2)",4
AllPingPong Neighbor2,mesh,"(-1, -1, 0)",36,"(0, 1, 2)",41,"(1, 2, 2)",4
AllPingPong Neighbor2,mesh,"(-1, -1, 0)",37,"(1, 1, 2)",42,"(2, 2, 2)",4
AllPingPong Neighbor2,mesh,"(-1, -1, 0)",38,"(2, 1, 2)",43,"(3, 2, 2)",4
AllPingPong Neighbor2,mesh,"(-1, -1, 0)",40,"(0, 2, 2)",45,"(1, 3, 2)",4
AllPingPong Neighbor2,mesh,"(-1, -1, 0)",41,"(1, 2, 2)",46,"(2, 3, 2)",4
AllPingPong Neighbor2,mesh,"(-1, -1, 0)",42,"(2, 2, 2)",47,"(3, 3, 2)",4
AllPingPong Neighbor2,mesh,"(-1, -1, 0)",48,"(0, 0, 3)",53,"(1, 1, 3)",4
AllPingPong Neighbor2,mesh,"(-1, -1, 0)",49,"(1, 0, 3)",54,"(2, 1, 3)",4
AllPingPong Neighbor2,mesh,"(-1, -1, 0)",50,"(2, 0, 3)",55,"(3, 1, 3)",4
AllPingPong Neighbor2,mesh,"(-1, -1, 0)",52,"(0, 1, 3)",57,"(1, 2, 3)",4
AllPingPong Neighbor2,mesh,"(-1, -1, 0)",53,"(1, 1, 3)",58,"(2, 2, 3)",4
AllPingPong Neighbor2,mesh,"(-1, -1, 0)",54,"(2, 1, 3)",59,"(3, 2, 3)",4
AllPingPong Neighbor2,mesh,"(-1, -1, 0)",56,"(0, 2, 3)",61,"(1, 3, 3)",4
AllPingPong Neighbor2,mesh,"(-1, -1, 0)",57,"(1, 2, 3)",62,"(2, 3, 3)",4
AllPingPong Neighbor2,mesh,"(-1, -1, 0)",58,"(2, 2, 3)",63,"(3, 3, 3)",4
AllPingPong Neighbor3,mesh,"(-1, -1, 1)",5,"(1, 1, 0)",16,"(0, 0, 1)",5
AllPingPong Neighbor3,mesh,"(-1, -1, 1)",6,"(2, 1, 0)",17,"(1, 0, 1)",5
AllPingPong Neighbor3,mesh,"(-1, -1, 1)",7,"(3, 1, 0)",18,"(2, 0, 1)",5
AllPingPong Neighbor3,mesh,"(-1, -1, 1)",9,"(1, 2, 0)",20,"(0, 1, 1)",5
AllPingPong Neighbor3,mesh,"(-1, -1, 1)",10,"(2, 2, 0)",21,"(1, 1, 1)",5
AllPingPong Neighbor3,mesh,"(-1, -1, 1)",11,"(3, 2, 0)",22,"(2, 1, 1)",5
AllPingPong Neighbor3,mesh,"(-1, -1, 1)",13,"(1, 3, 0)",24,"(0, 2, 1)",5
AllPingPong Neighbor3,mesh,"(-1, -1, 1)",14,"(2, 3, 0)",25,"(1, 2, 1)",5
AllPingPong Neighbor3,mesh,"(-1, -1, 1)",15,"(3, 3, 0)",26,"(2, 2, 1)",5
AllPingPong Neighbor3,mesh,"(-1, -1, 1)",21,"(1, 1, 1)",32,"(0, 0, 2)",5
AllPingPong Neighbor3,mesh,"(-1, -1, 1)",22,"(2, 1, 1)",33,"(1, 0, 2)",5
AllPingPong Neighbor3,mesh,"(-1, -1, 1)",23,"(3, 1, 1)",34,"(2, 0, 2)",5
AllPingPong Neighbor3,mesh,"(-1, -1, 1)",25,"(1, 2, 1)",36,"(0, 1, 2)",5
AllPingPong Neighbor3,mesh,"(-1, -1, 1)",26,"(2, 2, 1)",37,"(1, 1, 2)",5
AllPingPong Neighbor3,mesh,"(-1, -1, 1)",27,"(3, 2, 1)",38,"(2, 1, 2)",5
AllPingPong Neighbor3,mesh,"(-1, -1, 1)",29,"(1, 3, 1)",40,"(0, 2, 2)",5
AllPingPong Neighbor3,mesh,"(-1, -1, 1)",30,"(2, 3, 1)",41,"(1, 2, 2)",5
AllPingPong Neighbor3,mesh,"(-1, -1, 1)",31,"(3, 3, 1)",42,"(2, 2, 2)",5
AllPingPong Neighbor3,mesh,"(-1, -1, 1)",37,"(1, 1, 2)",48,"(0, 0, 3)",5
AllPingPong Neighbor3,mesh,"(-1, -1, 1)",38,"(2, 1, 2)",49,"(1, 0, 3)",5
AllPingPong Neighbor3,mesh,"(-1, -1, 1)",39,"(3, 1, 2)",50,"(2, 0, 3)",5
AllPingPong Neighbor3,mesh,"(-1, -1, 1)",41,"(1, 2, 2)",52,"(0, 1, 3)",5
AllPingPong Neighbor3,mesh,"(-1, -1, 1)",42,"(2, 2, 2)",53,"(1, 1, 3)",5
AllPingPong Neighbor3,mesh,"(-1, -1, 1)",43,"(3, 2, 2)",54,"(2, 1, 3)",5
AllPingPong Neighbor3,mesh,"(-1, -1, 1)",45,"(1, 3, 2)",56,"(0, 2, 3)",5
AllPingPong Neighbor3,mesh,"(-1, -1, 1)",46,"(2, 3, 2)",57,"(1, 2, 3)",5
AllPingPong Neighbor3,mesh,"(-1, -1, 1)",47,"(3, 3, 2)",58,"(2, 2, 3)",5
AllPingPong Neighbor4,mesh,"(-1, 0, -1)",0,"(0, 0, 0)",17,"(1, 0, 1)",4
AllPingPong Neighbor4,mesh,"(-1, 0, -1)",1,"(1, 0, 0)",18,"(2, 0, 1)",4
AllPingPong Neighbor4,mesh,"(-1, 0, -1)",2,"(2, 0, 0)",19,"(3, 0, 1)",4
AllPingPong Neighbor4,mesh,"(-1, 0, -1)",4,"(0, 1, 0)",21,"(1, 1, 1)",4
AllPingPong Neighbor4,mesh,"(-1, 0, -1)",5,"(1, 1, 0)",22,"(2, 1, 1)",4
AllPingPong Neighbor4,mesh,"(-1, 0, -1)",6,"(2, 1, 0)",23,"(3, 1, 1)",4
AllPingPong Neighbor4,mesh,"(-1, 0, -1)",8,"(0, 2, 0)",25,"(1, 2, 1)",4
AllPingPong Neighbor4,mesh,"(-1, 0, -1)",9,"(1, 2, 0)",26,"(2, 2, 1)",4
AllPingPong Neighbor4,mesh,"(-1, 0, -1)",10,"(2, 2, 0)",27,"(3, 2, 1)",4
AllPingPong Neighbor4,mesh,"(-1, 0, -1)",12,"(0, 3, 0)",29,"(1, 3, 1)",4
AllPingPong Neighbor4,mesh,"(-1, 0, -1)",13,"(1, 3, 0)",30,"(2, 3, 1)",4
AllPingPong Neighbor4,mesh,"(-1, 0, -1)",14,"(2, 3, 0)",31,"(3, 3, 1)",4
AllPingPong Neighbor4,mesh,"(-1, 0, -1)",16,"(0, 0, 1)",33,"(1, 0, 2)",4
AllPingPong Neighbor4,mesh,"(-1, 0, -1)",17,"(1, 0, 1)",34,"(2, 0, 2)",4
AllPingPong Neighbor4,mesh,"(-1, 0, -1)",18,"(2, 0, 1)",35,"(3, 0, 2)",4
AllPingPong Neighbor4,mesh,"(-1, 0, -1)",20,"(0, 1, 1)",37,"(1, 1, 2)",4
AllPingPong Neighbor4,mesh,"(-1, 0, -1)",21,"(1, 1, 1)",38,"(2, 1, 2)",4
AllPingPong Neighbor4,mesh,"(-1, 0, -1)",22,"(2, 1, 1)",39,"(3, 1, 2)",4
AllPingPong Neighbor4,mesh,"(-1, 0, -1)",24,"(0, 2, 1)",41,"(1, 2, 2)",4
AllPingPong Neighbor4,mesh,"(-1, 0, -1)",25,"(1, 2, 1)",42,"(2, 2, 2)",4
AllPingPong Neighbor4,mesh,"(-1, 0, -1)",26,"(2, 2, 1)",43,"(3, 2, 2)",4
AllPingPong Neighbor4,mesh,"(-1, 0, -1)",28,"(0, 3, 1)",45,"(1, 3, 2)",4
AllPingPong Neighbor4,mesh,"(-1, 0, -1)",29,"(1, 3, 1)",46,"(2, 3, 2)",4
AllPingPong Neighbor4,mesh,"(-1, 0, -1)",30,"(2, 3, 1)",47,"(3, 3, 2)",4
AllPingPong Neighbor4,mesh,"(-1, 0, -1)",32,"(0, 0, 2)",49,"(1, 0, 3)",4
AllPingPong Neighbor4,mesh,"(-1, 0, -1)",33,"(1, 0, 2)",50,"(2, 0, 3)",4
AllPingPong Neighbor4,mesh,"(-1, 0, -1)",34,"(2, 0, 2)",51,"(3, 0, 3)",4
AllPingPong Neighbor4,mesh,"(-1, 0, -1)",36,"(0, 1, 2)",53,"(1, 1, 3)",4
AllPingPong Neighbor4,mesh,"(-1, 0, -1)",37,"(1, 1, 2)",54,"(2, 1, 3)",4
AllPingPong Neighbor4,mesh,"(-1, 0, -1)",38,"(2, 1, 2)",55,"(3, 1, 3)",4
AllPingPong Neighbor4,mesh,"(-1, 0, -1)",40,"(0, 2, 2)",57,"(1, 2, 3)",4
AllPingPong Neighbor4,mesh,"(-1, 0, -1)",41,"(1, 2, 2)",58,"(2, 2, 3)",4
AllPingPong Neighbor4,mesh,"(-1, 0, -1)",42,"(2, 2, 2)",59,"(3, 2, 3)",4
AllPingPong Neighbor4,mesh,"(-1, 0, -1)",44,"(0, 3, 2)",61,"(1, 3, 3)",4
AllPingPong Neighbor4,mesh,"(-1, 0, -1)",45,"(1, 3, 2)",62,"(2, 3, 3)",4
AllPingPong Neighbor4,mesh,"(-1, 0, -1)",46,"(2, 3, 2)",63,"(3, 3, 3)",4
AllPingPong Neighbor5,mesh,"(-1, 0, 0)",0,"(0, 0, 0)",1,"(1, 0, 0)",3
AllPingPong Neighbor5,mesh,"(-1, 0, 0)",1,"(1, 0, 0)",2,"(2, 0, 0)",3
AllPingPong Neighbor5,mesh,"(-1, 0, 0)",2,"(2, 0, 0)",3,"(3, 0, 0)",3
AllPingPong Neighbor5,mesh,"(-1, 0, 0)",4,"(0, 1, 0)",5,"(1, 1, 0)",3
AllPingPong Neighbor5,mesh,"(-1, 0, 0)",5,"(1, 1, 0)",6,"(2, 1, 0)",3
AllPingPong Neighbor5,mesh,"(-1, 0, 0)",6,"(2, 1, 0)",7,"(3, 1, 0)",3
AllPingPong Neighbor5,mesh,"(-1, 0, 0)",8,"(0, 2, 0)",9,"(1, 2, 0)",3
AllPingPong Neighbor5,mesh,"(-1, 0, 0)",9,"(1, 2, 0)",10,"(2, 2, 0)",3
