ComponentName, StatisticName, StatisticSubId, StatisticType, SimTime, Rank, Sum.u64, SumSQ.u64, Count.u64, Min.u64, Max.u64
nic0:rtrLink:networkIF, packet_latency, , Accumulator, 1687342733, 0, 83682, 21230120, 403, 111, 458
nic0:rtrLink:networkIF, send_bit_count, , Accumulator, 1687342733, 0, 162968, 69014720, 403, 360, 1128
nic0:rtrLink:networkIF, output_port_stalls, , Accumulator, 1687342733, 0, 0, 0, 0, 0, 0
nic0:rtrLink:networkIF, idle_time, , Accumulator, 1687342733, 0, 1314337147, 8674503495092387, 403, 120669, 18105336
nic1:rtrLink:networkIF, packet_latency, , Accumulator, 1687342733, 0, 170349, 60613255, 597, 111, 458
nic1:rtrLink:networkIF, send_bit_count, , Accumulator, 1687342733, 0, 238952, 98990400, 597, 360, 1128
nic1:rtrLink:networkIF, output_port_stalls, , Accumulator, 1687342733, 0, 0, 0, 0, 0, 0
nic1:rtrLink:networkIF, idle_time, , Accumulator, 1687342733, 0, 1073821436, 4102900028392110, 597, 120669, 15323736
rtr_l0_g0_r0, send_bit_count, port0, Accumulator, 1687342733, 0, 161688, 67355840, 403, 360, 1128
rtr_l0_g0_r0, send_packet_count, port0, Accumulator, 1687342733, 0, 403, 403, 403, 1, 1
rtr_l0_g0_r0, output_port_stalls, port0, Accumulator, 1687342733, 0, 0, 0, 0, 0, 0
rtr_l0_g0_r0, idle_time, port0, Accumulator, 1687342733, 0, 1685432544, 11401237291459390, 404, 74403, 19610668
rtr_l0_g0_r0, width_adj_count, port0, Accumulator, 1687342733, 0, 0, 0, 0, 0, 0
rtr_l0_g0_r0, send_bit_count, port1, Accumulator, 1687342733, 0, 238312, 98160960, 597, 360, 1128
rtr_l0_g0_r0, send_packet_count, port1, Accumulator, 1687342733, 0, 597, 597, 597, 1, 1
rtr_l0_g0_r0, output_port_stalls, port1, Accumulator, 1687342733, 0, 0, 0, 0, 0, 0
rtr_l0_g0_r0, idle_time, port1, Accumulator, 1687342733, 0, 1684523438, 6657579528880820, 598, 126401, 16685069
rtr_l0_g0_r0, width_adj_count, port1, Accumulator, 1687342733, 0, 0, 0, 0, 0, 0
